identifier,smiles
CNP0028858.1,O=C(OC[C@H]1O[C@@H](OC2=CC(O)=C3C(=C2)O[C@H](C2=CC(O)=C(O)C(O)=C2)[C@H](OC(=O)C2=CC(O)=C(O)C(O)=C2)[C@H]3C2=C(O)C=C(O)C3=C2O[C@H](C2=CC=C(O)C(O)=C2)[C@H](OC(=O)C2=CC(O)=C(O)C(O)=C2)[C@H]3C2=C(O)C=C(O)C3=C2O[C@H](C2=CC(O)=C(O)C(O)=C2)[C@H](OC(=O)C2=CC(O)=C(O)C(O)=C2)[C@H]3C2=C(O)C=C(O)C3=C2O[C@H](C2=CC=C(O)C(O)=C2)[C@H](OC(=O)C2=CC(O)=C(O)C(O)=C2)[C@H]3C2=C(O)C=C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C3=C2O[C@H](C2=CC(O)=C(O)C(O)=C2)[C@H](OC(=O)C2=CC(O)=C(O)C(O)=C2)C3)[C@H](O)[C@@H](O)[C@@H]1O)C1=CC(O)=C(O)C(O)=C1
CNP0038051.1,O=C(O[C@@H]1[C@@H](C2=C(O)C=C(O)C3=C2O[C@H](C2=CC(O)=C(O)C(O)=C2)[C@H](OC(=O)C2=CC(O)=C(O)C(O)=C2)[C@H]3C2=C(O)C=C(O)C3=C2O[C@H](C2=CC(O)=C(O)C(O)=C2)[C@H](OC(=O)C2=CC(O)=C(O)C(O)=C2)[C@H]3C2=C(O)C=C(O)C3=C2O[C@H](C2=CC=C(O)C(O)=C2)[C@@H](O)C3)C2=C(O)C=C(O)C([C@H]3C4=C(O)C=C(O)C([C@H]5C6=C(O)C=C(O)C([C@H]7C8=C(O)C=C(O)C=C8O[C@H](C8=CC=C(O)C=C8)[C@@H]7O)=C6O[C@H](C6=CC(O)=C(O)C(O)=C6)[C@@H]5OC(=O)C5=CC(O)=C(O)C(O)=C5)=C4O[C@H](C4=CC(O)=C(O)C(O)=C4)[C@@H]3OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2O[C@@H]1C1=CC(O)=C(O)C(O)=C1)C1=CC(O)=C(O)C(O)=C1
CNP0039340.1,O=C(OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC[C@H]3O[C@@H](OC[C@H]4O[C@@H](OC5=CC(O)=C6C(=C5)O[C@H](C5=CC=C(O)C(O)=C5)[C@H](O)[C@H]6C5=C(O)C=C6O[C@H](C7=CC(O)=C(O)C(O)=C7)[C@H](O)[C@@H](C7=C(O)C=C8O[C@H](C9=CC(O)=C(O)C(O)=C9)[C@H](O)[C@@H](C9=C(O)C=C%10O[C@H](C%11=CC(O)=C(O)C(O)=C%11)[C@H](O)CC%10=C9O)C8=C7O)C6=C5O)[C@H](O)[C@@H](O)[C@@H]4O)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O)C1=CC(O)=C(O)C(OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)=C1
CNP0040081.1,COC(=O)CCCCCCCCO[C@@H]1O[C@H](COCC2=CC=CC=C2)[C@@H](O[C@H]2O[C@@H](COC(=O)C3=CC=CC=C3)[C@@H](OC(C)=O)[C@@H](O[C@@H]3O[C@@H](COCC4=CC=CC=C4)[C@H](OCC4=CC=CC=C4)[C@H](OCC4=CC=CC=C4)[C@@H]3OCC3=CC=CC=C3)[C@@H]2OC(=O)C2=CC=CC=C2)[C@H](OCC2=CC=CC=C2)[C@@H]1NC(C)=O
CNP0040081.2,COC(=O)CCCCCCCCO[C@@H]1O[C@H](COCC2=CC=CC=C2)[C@@H](O[C@H]2O[C@@H](COC(=O)C3=CC=CC=C3)[C@H](OC(C)=O)[C@@H](O[C@H]3O[C@@H](COCC4=CC=CC=C4)[C@H](OCC4=CC=CC=C4)[C@@H](OCC4=CC=CC=C4)[C@@H]3OCC3=CC=CC=C3)[C@@H]2OC(=O)C2=CC=CC=C2)[C@H](OCC2=CC=CC=C2)[C@H]1NC(C)=O
CNP0044278.1,O=C(OC[C@H]1O[C@@H](OC2=CC(O)=C([C@H]3C4=C(O)C=C(O)C([C@H]5C6=C(O)C=C(O)C([C@H]7C8=C(O)C=C(O[C@@H]9O[C@H](CO[C@@H]%10O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%10O)[C@@H](O)[C@H](O)[C@H]9O)C=C8O[C@H](C8=CC(O)=C(O)C(O)=C8)[C@@H]7OC(=O)C7=CC(O)=C(O)C(O)=C7)=C6O[C@H](C6=CC(O)=C(O)C(O)=C6)[C@@H]5OC(=O)C5=CC(O)=C(O)C(O)=C5)=C4O[C@H](C4=CC(O)=C(O)C(O)=C4)[C@@H]3OC(=O)C3=CC(O)=C(O)C(O)=C3)C3=C2C[C@@H](OC(=O)C2=CC(O)=C(O)C(O)=C2)[C@@H](C2=CC=C(O)C(O)=C2)O3)[C@H](O)[C@@H](O)[C@@H]1O)C1=CC(O)=C(O)C(O)=C1
CNP0051894.2,O=C(O)CC(=O)OC[C@H]1O[C@@H](OC2=C(C3=CC=C(O)C(O[C@@H]4O[C@H](COC(=O)C=CC5=CC=C(O[C@@H]6O[C@H](COC(=O)C=CC7=CC=C(O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)C(O)=C7)[C@@H](O)[C@H](O)[C@H]6O)C(O)=C5)[C@@H](O)[C@H](O)[C@H]4O)=C3)OC3=CC(O[C@@H]4O[C@H](COC(=O)C=CC5=CC=C(O)C(O)=C5)[C@@H](O)[C@H](O)[C@H]4O)=CC(O)=C3C2)[C@H](O)[C@@H](O)[C@@H]1O
CNP0054486.1,O=C(O[C@@H]1[C@@H](C2=C(O)C=C(O)C3=C2O[C@H](C2=CC(O)=C(O)C(O)=C2)[C@H](O)[C@H]3C2=C(O)C=C(O)C3=C2O[C@H](C2=CC(O)=C(O)C(O)=C2)[C@H](O)[C@H]3C2=C(O)C=C(O)C3=C2O[C@H](C2=CC(O)=C(O)C(O)=C2)[C@H](O)[C@H]3C2=C(O)C=C(O)C3=C2O[C@H](C2=CC(O)=C(O)C(O)=C2)[C@H](O)[C@H]3C2=C(O)C=C(O)C3=C2O[C@H](C2=CC(O)=C(O)C(O)=C2)[C@@H](O)C3)C2=C(O)C=C(O[C@@H]3O[C@H](CO[C@@H]4O[C@H](CO[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)C=C2O[C@@H]1C1=CC(O)=C(O)C(O)=C1)C1=CC(O)=C(O)C(O)=C1
CNP0058780.1,O=C(OC1=CC=C([C@H]2OC3=C(C(O)=CC(O)=C3[C@H]3C4=C(O[C@H](C5=CC(OC(=O)C6=CC(O)=C(O)C(O)=C6)=C(OC(=O)C6=CC(O)=C(O)C(O)=C6)C(OC(=O)C6=CC(O)=C(O)C(O)=C6)=C5)[C@H]3OC(=O)C3=CC(O)=C(O)C(O)=C3)C([C@H]3C5=C(O)C=C(O)C=C5O[C@H](C5=CC=C(O)C(O)=C5)[C@H]3O)=C(O)C=C4OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](C3=C(O)C=C(O)C4=C3O[C@@H](C3=CC(O)=C(O)C(O)=C3)[C@H](O)C4)[C@@H]2OC(=O)C2=CC(O)=C(O)C(O)=C2)C=C1OC(=O)C1=CC(O)=C(O)C(O)=C1)C1=CC(O)=C(O)C(O)=C1
CNP0063271.1,O=C(OC1=CC([C@H]2OC3=C(C(O)=CC(O)=C3[C@H]3C4=C(O)C=C(O)C([C@H]5C6=C(O)C=C(O)C=C6O[C@H](C6=CC=C(O)C(O)=C6)[C@H]5O)=C4O[C@H](C4=CC(OC(=O)C5=CC(O)=C(O)C(O)=C5)=C(OC(=O)C5=CC(O)=C(O)C(O)=C5)C(OC(=O)C5=CC(O)=C(O)C(O)=C5)=C4)[C@H]3O)[C@H](C3=C(O)C=C(O)C4=C3O[C@@H](C3=CC=C(O)C(O)=C3)[C@H](O)C4)[C@@H]2O)=CC(OC(=O)C2=CC(O)=C(O)C(O)=C2)=C1OC(=O)C1=CC(O)=C(O)C(O)=C1)C1=CC(O)=C(O)C(O)=C1
